number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
0,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_070500,0,0
0,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070600,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070700,0,0
1,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070800,1,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070900,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071000,0,0
0,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071100,0,0
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071200,0,0
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071300,0,0
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071400,0,0
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071500,0,0
0,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_073400,0,0
2,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073500,1,1
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073600,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073700,0,0
1,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073800,0,1
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073900,0,0
1,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074000,0,1
0,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074700,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074800,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074900,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075000,0,0
0,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075100,0,0
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075200,0,0
0,AV,SSF,DEPL,NC,09/07/2021,14,SSF,SCW6070_20210709_085500,0,0
2,AV+D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085600,0,2
14,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085700,5,9
0,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085800,0,0
0,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085900,0,0
1,D+AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090000,0,1
0,AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090100,0,0
0,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094400,0,0
0,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094500,0,0
0,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_095300,0,0
1,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095400,1,0
1,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095500,0,1
1,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095600,1,0
1,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095700,1,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095800,0,0
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095900,0,0
0,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100000,0,0
0,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100100,0,0
0,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100200,0,0
2,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100300,0,2
0,D+AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100400,0,0
0,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100500,0,0
0,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100600,0,0
0,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100700,0,0
0,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102700,0,0
0,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102800,0,0
0,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102900,0,0
0,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_103000,0,0
2,T,SSF,CHAS,DC,09/07/2021,15,SSF,SCW6070_20210709_104100,1,1
5,T,SSF,CHAS,DC,09/07/2021,15,SSF,SCW6070_20210709_104200,4,1
0,T,SSF,CHAS,DC,09/07/2021,20,SSF,SCW6070_20210709_104300,0,0
5,AV,SSF,DEPL,NC,09/07/2021,12,SSF,SCW6070_20210709_120800,4,1
3,AV+D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_120900,2,1
1,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121000,1,0
0,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121100,0,0
0,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121200,0,0
0,D+AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121300,0,0
0,AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121400,0,0
0,AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121500,0,0
3,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055700,3,0
0,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055800,0,0
1,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055900,0,1
0,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_060000,0,0
0,AV,SSF,CHAS,NC,11/07/2021,5,SSF,SCW6070_20210711_073300,0,0
0,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073400,0,0
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073500,0,0
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073600,0,0
0,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073700,0,0
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073800,0,0
0,AP+AV,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073900,0,0
0,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074000,0,0
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074100,0,0
0,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074200,0,0
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_085800,0,0
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_085900,0,0
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090000,0,0
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090100,0,0
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090200,0,0
2,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_090500,1,1
