Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL,C-GR,FILET
09072021-avec_sondeur/SCW6070_20210709_070500.wav,09/07/2021,7:5,0,1,0,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_070600.wav,09/07/2021,7:6,0,0,1,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_070700.wav,09/07/2021,7:7,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_070800.wav,09/07/2021,7:8,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_070900.wav,09/07/2021,7:9,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_071000.wav,09/07/2021,7:10,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_071100.wav,09/07/2021,7:11,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_071200.wav,09/07/2021,7:12,0,0,0,0,0,1,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_071300.wav,09/07/2021,7:13,0,0,0,0,0,1,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_071400.wav,09/07/2021,7:14,0,0,0,0,0,1,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_071500.wav,09/07/2021,7:15,0,0,0,0,0,1,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_073400.wav,09/07/2021,7:34,0,1,0,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_073500.wav,09/07/2021,7:35,0,0,1,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_073600.wav,09/07/2021,7:36,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_073700.wav,09/07/2021,7:37,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_073800.wav,09/07/2021,7:38,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_073900.wav,09/07/2021,7:39,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_074000.wav,09/07/2021,7:40,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_074700.wav,09/07/2021,7:47,0,0,1,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_074800.wav,09/07/2021,7:48,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_074900.wav,09/07/2021,7:49,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_075000.wav,09/07/2021,7:50,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_075100.wav,09/07/2021,7:51,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_075200.wav,09/07/2021,7:52,0,0,0,0,0,1,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_085500.wav,09/07/2021,8:55,0,1,0,0,0,0,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_085600.wav,09/07/2021,8:56,0,0,1,0,0,0,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_085700.wav,09/07/2021,8:57,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_085800.wav,09/07/2021,8:58,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_085900.wav,09/07/2021,8:59,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_090000.wav,09/07/2021,9:0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_090100.wav,09/07/2021,9:1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,DC,14,SSF
09072021-avec_sondeur/SCW6070_20210709_094400.wav,09/07/2021,9:44,0,0,1,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_094500.wav,09/07/2021,9:45,0,0,0,0,1,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095300.wav,09/07/2021,9:53,0,1,0,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095400.wav,09/07/2021,9:54,0,0,1,0,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095500.wav,09/07/2021,9:55,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095600.wav,09/07/2021,9:56,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095700.wav,09/07/2021,9:57,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095800.wav,09/07/2021,9:58,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_095900.wav,09/07/2021,9:59,0,0,0,1,0,0,0,0,1,0,0,0,1,1,DC,6,SSF
09072021-avec_sondeur/SCW6070_20210709_100000.wav,09/07/2021,10:0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100100.wav,09/07/2021,10:1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100200.wav,09/07/2021,10:2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100300.wav,09/07/2021,10:3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100400.wav,09/07/2021,10:4,0,0,0,0,1,0,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100500.wav,09/07/2021,10:5,0,0,0,0,0,1,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100600.wav,09/07/2021,10:6,0,0,0,0,0,1,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_100700.wav,09/07/2021,10:7,0,0,0,0,0,1,0,1,0,0,0,0,1,1,DC,6,grand_filet
09072021-avec_sondeur/SCW6070_20210709_102700.wav,09/07/2021,10:27,1,0,0,0,0,0,0,1,0,0,0,0,1,1,DC,14,grand_filet
09072021-avec_sondeur/SCW6070_20210709_102800.wav,09/07/2021,10:28,1,0,0,0,0,0,0,1,0,0,0,0,1,1,DC,14,grand_filet
09072021-avec_sondeur/SCW6070_20210709_102900.wav,09/07/2021,10:29,1,0,0,0,0,0,0,1,0,0,0,0,1,1,DC,14,grand_filet
09072021-avec_sondeur/SCW6070_20210709_103000.wav,09/07/2021,10:30,1,0,0,0,0,0,0,1,0,0,0,0,1,1,DC,14,grand_filet
09072021-avec_sondeur/SCW6070_20210709_104100.wav,09/07/2021,10:41,1,0,0,0,0,0,0,0,1,0,1,0,0,1,DC,15,SSF
09072021-avec_sondeur/SCW6070_20210709_104200.wav,09/07/2021,10:42,1,0,0,0,0,0,0,0,1,0,1,0,0,1,DC,15,SSF
09072021-avec_sondeur/SCW6070_20210709_104300.wav,09/07/2021,10:43,1,0,0,0,0,0,0,0,1,0,1,0,0,1,DC,20,SSF
