UMAP1,UMAP2
-3.863547,3.191094
0.48124975,-2.2621999
9.820153,-3.1270847
-1.7700683,2.5407102
-2.3987439,-9.146541
0.04676543,-4.096368
-2.9250352,4.790415
-4.8270254,7.5873885
-3.987373,-5.8874173
2.0321345,-0.23262349
-2.0491853,-7.480308
-3.3355756,3.2061024
3.342587,-6.1924067
-1.712496,2.3524988
-4.423837,4.069141
2.5623746,2.7867804
-0.4615538,6.307355
6.1815114,2.0794234
-3.853541,-1.0512091
-5.5669837,-2.9281192
4.572975,-3.453179
6.4589596,-2.059456
-3.5612233,0.7060455
0.53198516,-3.0089934
-0.6757966,0.31411928
-0.75539833,2.4221363
0.20782708,-6.297468
-8.415692,-1.2865738
5.594339,-3.28749
1.6040353,10.3374195
8.7104,-0.09789312
0.109278284,0.89643836
-4.543054,-4.297119
-8.683375,-3.427174
-0.18435505,1.7103317
-1.7036709,4.780575
-6.0768604,10.000737
-7.1668887,8.854899
3.0729024,6.0049872
2.3041422,0.13814692
-0.21466026,-9.000986
6.613253,-4.1625404
-4.354979,8.189827
-8.153653,-3.862811
-3.7962496,1.4102273
-5.443332,5.2223997
-1.0078489,-0.47185785
4.6672764,1.6772343
-2.339768,11.432929
-0.76744956,9.890535
4.8049498,3.0937307
2.5675704,-4.2337413
-7.601301,-5.508243
6.5852003,2.2453954
-4.3482327,-1.7086068
2.1798356,-8.069995
-6.061102,1.9625264
-0.59896725,0.7337068
4.587477,-1.5647062
3.3091698,-0.5051329
-3.8734372,-6.890449
8.810865,-7.105639
0.31007594,-4.6339345
-1.687109,-7.157653
-1.285879,-10.000136
6.546982,-0.9324122
-4.9024563,7.9380507
-2.271813,-1.0608497
6.5392876,-4.479466
4.6464047,16.245277
3.3335588,5.0215483
2.2813506,-6.173333
1.8667041,5.6458125
3.0632875,2.0275843
1.4461987,10.350509
-6.5715523,-7.3559694
-1.757768,9.108029
3.3294756,4.4309335
-1.9289211,-1.1241388
-3.3130138,-5.4919615
3.1924963,15.970107
7.153148,-3.2005558
-4.1790338,-3.4278405
-2.3972661,4.1417
0.5936745,1.3306327
-4.641749,4.420264
-3.692537,13.366643
-3.8754957,7.7587457
-3.0386128,7.3826923
1.1897916,-6.8515368
-0.47705895,2.943239
7.886143,-1.9360346
-5.8413157,0.73571193
-2.3784335,-2.1864283
-3.1828308,4.65778
2.0440075,2.6836941
-2.3560734,12.595748
