total_whistles_duration,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names
0,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_070500
0,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070600
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070700
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070800
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070900
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071000
0,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071100
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071200
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071300
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071400
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071500
193,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_073400
279,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073500
141,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073600
13,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073700
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073800
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073900
0,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074000
0,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074700
175,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074800
11,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074900
34,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075000
0,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075100
0,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075200
310,AV,SSF,DEPL,NC,09/07/2021,14,SSF,SCW6070_20210709_085500
398,AV+D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085600
318,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085700
75,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085800
0,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085900
0,D+AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090000
10,AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090100
486,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094400
11,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094500
137,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_095300
0,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095400
96,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095500
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095600
13,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095700
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095800
0,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095900
0,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100000
0,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100100
0,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100200
537,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100300
0,D+AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100400
0,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100500
0,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100600
150,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100700
121,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102700
74,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102800
11,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102900
0,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_103000
1515,T,SSF,CHAS,DC,09/07/2021,15,SSF,SCW6070_20210709_104100
2700,T,SSF,CHAS,DC,09/07/2021,15,SSF,SCW6070_20210709_104200
3348,T,SSF,CHAS,DC,09/07/2021,20,SSF,SCW6070_20210709_104300
713,AV,SSF,DEPL,NC,09/07/2021,12,SSF,SCW6070_20210709_120800
863,AV+D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_120900
12,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121000
331,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121100
5188,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121200
2405,D+AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121300
5936,AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121400
1696,AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121500
60,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055700
30,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055800
0,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055900
117,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_060000
81,AV,SSF,CHAS,NC,11/07/2021,5,SSF,SCW6070_20210711_073300
0,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073400
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073500
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073600
0,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073700
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073800
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073900
11,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074000
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074100
0,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074200
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_085800
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_085900
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090000
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090100
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090200
25,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_090500
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090600
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090700
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090800
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091100
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091200
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091300
0,AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091400
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091600
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091700
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_100500
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100600
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100700
81,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082400
0,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082500
0,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082600
105,AV,SSF,CHAS,NC,11/07/2020,15,SSF,SCW1807_20200711_082700
14,AV,SSF,DEPL,NC,11/07/2020,4,SSF,SCW1807_20200711_083600
31,AV+D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083700
0,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083800
345,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083900
0,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_084000
0,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084100
15,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084200
0,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084300
30,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084400
80,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084500
55,D+AP,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084600
240,AV+D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085300
610,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085400
839,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085500
381,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085600
1333,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085700
524,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085800
1092,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090100
1696,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090200
1408,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090300
1780,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090400
792,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090500
195,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090600
94,D+AP,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090700
92,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093300
173,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093400
1334,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093500
1259,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093600
863,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093700
455,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093800
135,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093900
116,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094000
107,D+AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094100
159,AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094200
26,AV+D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101700
0,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101800
11,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101900
118,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_102000
1026,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114000
1148,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114100
214,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114200
241,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114300
574,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114400
354,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114500
750,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_114900
1264,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115000
878,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115100
527,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115200
918,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115600
5546,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115700
4632,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115800
621,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115900
1514,AV,F,DEPL,NC,11/07/2020,4,chalut_blanc,SCW1807_20200711_123400
0,D,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123500
